Product Title,Price,Rating,Reviews,Product URL
"uppercase Medium 17 Ltrs Vegan Leather (14.6 inch) Laptop Backpack 2300EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty (Green)","Rs. 1,500",4.4 out of 5 stars,43,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfYnRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_53_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-53-spons%26psc%3D1
"
uppercase 19 Ltrs Medium (14.6 inch) Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue),"Rs. 1,150",4.0 out of 5 stars,10,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODM3OTAwMjY1ODQ2NTg1OjE2NjcwNTUzMjQ6c3BfYnRmOjIwMDcwNjc3NzE1Mjk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2Fuppercase-Backpack-1800EBP1-repellent-sustainable%2Fdp%2FB0B9T7PD7T%2Fref%3Dsr_1_54_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055324%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-54-spons%26psc%3D1
"
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"Rs. 1,801",4.4 out of 5 stars,"10,651","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDYwMjYzNTcwMjM0MDA2OjE2NjcwNTUzMjY6c3BfYXRmX25leHQ6MjAwMjE0Mjc5NzY3MDY6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07BVSSMQT%2Fref%3Dsr_1_65_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055326%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-65-spons%26psc%3D1
"
HEROZ Harbour Unisex Nylon 28 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 15.6 Inch Laptop Notebook (153-ALL) (Air Force Blue),Rs. 841,4.1 out of 5 stars,"6,281","https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDYwMjYzNTcwMjM0MDA2OjE2NjcwNTUzMjY6c3BfYXRmX25leHQ6MjAwNDY0Njc3NDk1OTg6OjA6Og&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FHEROZ-Backpack-Resistant-Notebook-Airforce%2Fdp%2FB07MCRHSVP%2Fref%3Dsr_1_66_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1667055326%26qu%3DeyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-66-spons%26psc%3D1
"
"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)",,3.8 out of 5 stars,902,"https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-67
"
Mokobara The Transit Backpack Laptop Bag for Men and Women,"Rs. 5,390",4.3 out of 5 stars,212,"https://www.amazon.in/Mokobara-Transit-Backpack-Laptop-Women/dp/B09V7VCK25/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-68
"
Half Moon 35 L Casual Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (Airport Blue),Rs. 699,3.9 out of 5 stars,136,"https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09B68N8LT/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-69
"
"F Gear Blow Laptop Backpack With Rain Cover 32 Liters (Black,Grey) Sch Bag","Rs. 1,049",4.3 out of 5 stars,"1,210","https://www.amazon.in/F-Gear-Blow-Laptop-Backpack/dp/B078J63VRY/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-70
"
Aristocrat Zeal 15L Unisex Grey Laptop Bags,Rs. 919,5.0 out of 5 stars,3,"https://www.amazon.in/Aristocrat-Zeal-Unisex-Grey-Laptop/dp/B0B5YHC1W5/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-71
"
Caprese Women's Tote Bag (Plum),"Rs. 1,099",3.8 out of 5 stars,62,"https://www.amazon.in/Caprese-Womens-Tote-bag-Plum/dp/B09FT551TP/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1667055326&qu=eyJxc2MiOiI4LjAzIiwicXNhIjoiOC4wNSIsInFzcCI6IjYuNzUifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-72
"
